Date,Group,TopicType,Url,Title,PageViews,PVMoM,Visitors,Engagement,Flags,BounceRate,ClickThroughRate,CopyTryScrollRate,ExitRate,HelpfulRating,Ratings,Verbatims,Drilldown,Trends,Freshness,MSUpdateCycleDays,LastPublished,LastReviewed,OrganicSearchReferrals,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,FirstPublished,MSAuthor,IsHistorical,RedirectUrl,PlatformId,CSAs
August 2025,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/concepts/prompt-engineering,Prompt engineering techniques - Azure OpenAI,"12,663",-0.9%,"8,684",L,3,20.8%,13.5%,69.9%,60.5%,92.9%,14,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-587733d5-739c-8748-38d0-2b19459bcafa&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-587733d5-739c-8748-38d0-2b19459bcafa&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-18,2025-07-02,"3,780",29.9%,27.0%,29.5%,12.7%,0.9%,3%,0%,70%,7/2/2025,mbullwin,No,,587733d5-739c-8748-38d0-2b19459bcafa,
August 2025,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/concepts/model-retirements,Azure OpenAI in Azure AI Foundry Model Retirements - Azure OpenAI,"12,291",23.8%,"6,680",H,1,12.5%,24.1%,84.4%,57.2%,0.0%,1,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-9f255fab-b558-f89e-7778-3c5488f34f39&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-9f255fab-b558-f89e-7778-3c5488f34f39&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-14,2025-08-14,"3,613",29.4%,35.5%,30.5%,4.5%,0.2%,13%,0%,84%,7/2/2025,mbullwin,No,,9f255fab-b558-f89e-7778-3c5488f34f39,
August 2025,Concepts,article,https://learn.microsoft.com/en-us/azure/ai-foundry/responsible-ai/openai/data-privacy,"Data, privacy, and security for Azure OpenAI Service - Azure AI services","16,223",9.0%,"10,177",L,3,18.7%,19.0%,70.3%,54.7%,100.0%,17,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-812f4d41-5c31-9208-bcea-9924bce164f5&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-812f4d41-5c31-9208-bcea-9924bce164f5&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,> 365 days,90,2025-08-17,2024-02-23,"3,545",21.9%,41.7%,24.8%,10.3%,1.3%,7%,0%,70%,6/24/2025,mbullwin,No,,812f4d41-5c31-9208-bcea-9924bce164f5,
August 2025,Concepts,quickstart,https://learn.microsoft.com/en-us/azure/ai-foundry/foundry-local/get-started,Get started with Foundry Local - Foundry Local,"11,356",129.2%,"6,790",H,0,12.5%,29.4%,86.7%,53.6%,20.0%,5,4,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-9ef3dccc-1889-c4c6-5c75-52706137790e&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-9ef3dccc-1889-c4c6-5c75-52706137790e&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-28,2025-07-03,"3,448",30.4%,26.2%,28.6%,8.2%,6.7%,14%,0%,87%,5/19/2025,jburchel,No,,9ef3dccc-1889-c4c6-5c75-52706137790e,
August 2025,Concepts,overview,https://learn.microsoft.com/en-us/azure/ai-services/speech-service/text-to-speech,Text to speech overview - Speech service - Azure AI services,"8,351",-3.0%,"5,843",H,0,13.6%,46.4%,75.2%,43.4%,66.7%,3,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-c4ddc9ab-2e87-8a29-c8b9-337e91689cbe&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-c4ddc9ab-2e87-8a29-c8b9-337e91689cbe&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,180,2025-08-20,2025-08-07,"3,437",41.2%,9.6%,45.2%,4.0%,0.0%,1%,0%,75%,8/28/2024,pafarley,No,,c4ddc9ab-2e87-8a29-c8b9-337e91689cbe,"[""data-ai""]"
August 2025,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/ai-services/speech-service/language-support,Language support - Speech service - Azure AI services,"14,104",-10.2%,"8,250",H,0,14.7%,34.1%,80.2%,49.6%,92.9%,14,1,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-344951bd-3582-5052-7672-3365be7c4103&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-344951bd-3582-5052-7672-3365be7c4103&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,180,2025-08-20,2025-06-05,"3,392",24.0%,30.1%,36.3%,9.4%,0.2%,17%,0%,80%,8/28/2024,pafarley,No,,344951bd-3582-5052-7672-3365be7c4103,"[""data-ai""]"
August 2025,Concepts,quickstart,https://learn.microsoft.com/en-us/azure/ai-foundry/agents/quickstart,Quickstart - Create a new Azure AI Foundry Agent Service project - Azure AI Foundry,"16,412",-22.4%,"8,746",H,0,13.9%,43.2%,84.5%,30.2%,55.6%,9,3,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-4085a3cd-33f3-6071-55db-270d606e8ad2&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-4085a3cd-33f3-6071-55db-270d606e8ad2&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-29,2025-08-29,"3,282",20.0%,14.1%,62.1%,3.7%,0.1%,8%,0%,84%,6/16/2025,aahi,No,,4085a3cd-33f3-6071-55db-270d606e8ad2,
August 2025,Concepts,how-to,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/how-to/create-resource,How-to: Create and deploy an Azure OpenAI in Azure AI Foundry Models resource - Azure OpenAI,"10,398",-12.4%,"6,856",H,0,13.5%,31.5%,82.3%,42.3%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-bb5c5fa1-33f9-a125-cb49-2259a45da3c6&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-bb5c5fa1-33f9-a125-cb49-2259a45da3c6&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-25,2025-07-31,"3,227",31.0%,21.1%,36.7%,11.2%,0.1%,3%,0%,82%,7/2/2025,mbullwin,No,,bb5c5fa1-33f9-a125-cb49-2259a45da3c6,
August 2025,Concepts,how-to,https://learn.microsoft.com/en-us/azure/ai-services/translator/document-translation/how-to-guides/create-sas-tokens,Create shared access signature (SAS) tokens for storage containers and blobs - Azure AI services,"4,240",-11.1%,"3,119",H,1,11.1%,17.1%,86.5%,45.8%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-0180f191-17c1-ac27-22f5-f75506b51e87&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-0180f191-17c1-ac27-22f5-f75506b51e87&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,180,2025-04-15,2025-04-14,"3,149",74.3%,11.3%,12.2%,2.2%,0.0%,3%,0%,87%,8/28/2024,lajanuar,No,,0180f191-17c1-ac27-22f5-f75506b51e87,"[""data-ai""]"
August 2025,Concepts,how-to,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/realtime-audio-quickstart,How to use GPT-4o Realtime API for speech and audio with Azure OpenAI in Azure AI Foundry Models - Azure OpenAI,"5,330",-12.5%,"3,137",H,0,12.8%,40.2%,81.9%,46.3%,100.0%,1,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-b8c0903b-2f9e-d118-aec0-5155435f536e&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-b8c0903b-2f9e-d118-aec0-5155435f536e&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-09-02,2025-06-07,"2,950",55.3%,13.6%,25.6%,5.3%,0.1%,10%,0%,82%,7/2/2025,pafarley,No,,b8c0903b-2f9e-d118-aec0-5155435f536e,
August 2025,Concepts,how-to,https://learn.microsoft.com/en-us/azure/ai-foundry/how-to/develop/sdk-overview,How to get started with Azure AI Foundry SDK - Azure AI Foundry,"12,931",-37.9%,"7,261",H,0,13.5%,54.1%,79.6%,22.2%,66.7%,6,2,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-5f86d733-9052-1372-a66c-309f47397d55&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-5f86d733-9052-1372-a66c-309f47397d55&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-28,2025-08-27,"2,940",22.7%,16.1%,57.1%,4.0%,0.0%,5%,0%,79%,2/28/2025,sgilley,No,,5f86d733-9052-1372-a66c-309f47397d55,
August 2025,Concepts,how-to,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/how-to/chatgpt,Work with chat completion models - Azure OpenAI in Azure AI Foundry Models,"8,350",2.1%,"5,386",H,0,13.1%,29.1%,82.1%,37.7%,,,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-ebe052bc-9135-c78f-45f1-9f6761adb719&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-ebe052bc-9135-c78f-45f1-9f6761adb719&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-09-01,2025-09-01,"2,874",34.4%,14.0%,46.8%,4.7%,0.0%,8%,0%,82%,7/2/2025,mbullwin,No,,ebe052bc-9135-c78f-45f1-9f6761adb719,
August 2025,Concepts,how-to,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/how-to/structured-outputs,How to use structured outputs with Azure OpenAI in Azure AI Foundry Models - Azure OpenAI,"5,810",5.9%,"3,419",H,0,14.2%,35.4%,85.0%,57.2%,66.7%,3,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-57f5599c-fd0a-b757-9527-62f21c7d0bce&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-57f5599c-fd0a-b757-9527-62f21c7d0bce&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-07,2025-06-17,"2,865",49.3%,17.8%,26.4%,6.3%,0.1%,19%,0%,85%,7/2/2025,mbullwin,No,,57f5599c-fd0a-b757-9527-62f21c7d0bce,
August 2025,Concepts,quickstart,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/concepts/use-your-data,Using your data with Azure OpenAI in Azure AI Foundry Models - Azure OpenAI,"8,204",-11.7%,"4,868",H,1,15.9%,25.5%,81.1%,37.9%,0.0%,1,,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-058b39a3-1c67-2ddf-0ebe-941cd704b729&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-058b39a3-1c67-2ddf-0ebe-941cd704b729&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-08-25,2025-07-16,"2,706",33.0%,19.9%,38.4%,8.6%,0.1%,4%,0%,81%,7/2/2025,aahi,No,,058b39a3-1c67-2ddf-0ebe-941cd704b729,
August 2025,Concepts,how-to,https://learn.microsoft.com/en-us/azure/ai-foundry/openai/how-to/fine-tuning,Customize a model with Azure OpenAI in Azure AI Foundry Models - Azure OpenAI,"9,314",-2.7%,"5,130",H,0,14.4%,30.5%,82.8%,46.0%,50.0%,2,2,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-16d2c328-4bc9-b8b1-0c8f-179b889be784&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-16d2c328-4bc9-b8b1-0c8f-179b889be784&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,0-90 days,90,2025-07-02,2025-07-02,"2,622",28.2%,17.0%,49.6%,5.1%,0.1%,6%,0%,83%,7/2/2025,mbullwin,No,,16d2c328-4bc9-b8b1-0c8f-179b889be784,
August 2025,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/ai-services/document-intelligence/prebuilt/layout,Document layout analysis - Document Intelligence - Azure AI services,"7,556",-11.7%,"3,973",H,0,13.3%,35.3%,86.3%,39.1%,100.0%,2,1,https://aka.ms/learncontentdrilldown?experience=power-bi&v-startDate=2days&v-endDate=now&v-SelectedPlatformId=v-f2fe4e48-c671-0182-ad95-a9d455166b35&v-SelectedLocale=v-en-us&page=b567a926-380d-46ea-b968-48664d0787ca&extensionScenario=openArtifact,https://aka.ms/learncontenttrends?experience=power-bi&v-SelectedPlatformId=v-f2fe4e48-c671-0182-ad95-a9d455166b35&v-SelectedTimeRange=v-Monthly&v-SelectedLocale=v-en-us&page=1c010e1d-658b-45c7-8844-4f9e7a29efd2,91-180 days,365,2025-08-13,2025-05-05,"2,618",34.6%,16.3%,43.0%,5.9%,0.1%,9%,0%,86%,10/16/2024,lajanuar,No,,f2fe4e48-c671-0182-ad95-a9d455166b35,"[""data-ai""]"
