Notes,NextGen?,NextGen TOC,Parent Path,Name,filename,URL,Is External,ms.author,ms.topic,ms.service,description,zone_pivot_groups,pivot_id,has_pivots,pivot_groups,hub-only,file_found,has_tabs,tab_count,tab_formats,has_images,image_count,portal_steps,has_code_blocks,code_block_count,code_languages,has_code_refs,code_ref_count,contains_link_no_param,Contains_link_with_param,title,author
,y,Best practices,Models > Choose a model for your use case,Model leaderboards,ai-foundry/concepts/model-benchmarks.md,https://learn.microsoft.com/azure/ai-foundry/concepts/model-benchmarks,False,lagayhar,concept-article,azure-ai-foundry,This article introduces benchmarking capabilities and model leaderboards (preview) in Azure AI Foundry portal.,,,False,,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Explore model leaderboards in Azure AI Foundry portal,lgayhardt
,y,Best practices,Models > Choose a model for your use case,Compare models in leaderboards,ai-foundry/how-to/benchmark-model-in-catalog.md,https://learn.microsoft.com/azure/ai-foundry/how-to/benchmark-model-in-catalog,False,lagayhar,how-to,azure-ai-foundry,"In this article, you learn to compare benchmarks across models and datasets, using the model leaderboards (preview) and the benchmarks feature in Azure AI Foundry portal.",,,False,,False,True,False,0,,True,11,False,False,0,,False,0,False,False,Benchmark models in the model leaderboard of Azure AI Foundry portal,lgayhardt
,y*,,Models > Choose a model for your use case,Explore the model playgrounds,ai-foundry/concepts/concept-playgrounds.md,https://learn.microsoft.com/azure/ai-foundry/concepts/concept-playgrounds,False,mopeakande,concept-article,azure-ai-foundry,"Learn to use Azure AI Foundry playgrounds for exploration, experimentation, and iteration with different models.",,,False,,False,True,False,0,,True,10,True,False,0,,False,0,True,False,Azure AI Foundry Playgrounds,msakande
,,,Models > Choose a model for your use case,GPT-5 vs GPT-4.1,ai-foundry/foundry-models/how-to/model-choice-guide.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/model-choice-guide,False,mbullwin,include,azure-ai-openai,"Compare GPT-5 and GPT-4.1 to choose the best Azure OpenAI model for your use case, covering reasoning depth, latency, cost, and ideal scenarios for each",,,False,,False,True,False,0,,False,0,False,False,0,,False,0,True,False,GPT-5 vs GPT-4.1 - choosing the right model for your use case,mrbullwinkle
,y,,Models > Deploy Foundry Models,Deployment options in Azure AI Foundry portal,ai-foundry/concepts/deployments-overview.md,https://learn.microsoft.com/azure/ai-foundry/concepts/deployments-overview,False,mopeakande,concept-article,azure-ai-foundry,Learn about deployment options for Azure AI Foundry Models.,,,False,,False,True,False,0,,True,1,False,False,0,,False,0,False,False,Deployment options for Azure AI Foundry Models,msakande
,?,,Models > Deploy Foundry Models,Deployment types,ai-foundry/foundry-models/concepts/deployment-types.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/deployment-types,False,mopeakande,how-to,azure-ai-foundry,Learn how to use deployment types in Azure AI model deployments,,,False,,False,True,False,0,,True,1,False,False,0,,False,0,False,False,Understanding deployment types in Azure AI Foundry Models,msakande
,y*,,Models > Deploy Foundry Models,Configure Models from Partners and Community,ai-foundry/foundry-models/how-to/configure-marketplace.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/configure-marketplace,False,mopeakande,how-to,azure-ai-foundry,Learn how to configure access to Models from Partners and Community.,,,False,,False,True,False,0,,True,1,False,False,0,,False,0,False,False,Configure access to Models from Partners and Community,msakande
,y*,,Models > Deploy Foundry Models,Deploy Foundry Models,ai-foundry/foundry-models/how-to/create-model-deployments.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/create-model-deployments,False,mopeakande,how-to,azure-ai-foundry,Learn how to add and configure new models to the Azure AI Foundry's inference endpoint.,azure-ai-models-deployment,azure-ai-models-deployment,True,azure-ai-models-deployment,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Add and configure models to Azure AI Foundry,msakande
,n,,Models > Deploy Foundry Models,Deploy Azure OpenAI in Foundry Models,ai-foundry/how-to/deploy-models-openai.md,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-openai,False,mopeakande,how-to,azure-ai-foundry,"Learn how to deploy and use Azure OpenAI models in Azure AI Foundry, including model region availability and quota management.",,,False,,False,True,False,0,,True,1,False,False,0,,False,0,False,True,How to deploy Azure OpenAI in Foundry Models with Azure AI Foundry,msakande
,y*,,Models > Deploy Foundry Models,Upgrade from GitHub Models to Azure AI Foundry Models,ai-foundry/foundry-models/how-to/quickstart-github-models.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/quickstart-github-models,False,mopeakande,how-to,azure-ai-foundry,Learn how to upgrade your endpoint from GitHub Models to Azure AI Foundry Models,,,False,,False,True,False,0,,True,2,True,False,0,,False,0,True,False,Upgrade from GitHub Models to Azure AI Foundry Models,msakande
,y,,Models > Deploy Foundry Models,Troubleshoot deployments and monitoring,ai-foundry/how-to/troubleshoot-deploy-and-monitor.md,https://learn.microsoft.com/azure/ai-foundry/how-to/troubleshoot-deploy-and-monitor,False,mopeakande,how-to,azure-ai-foundry,Learn how to troubleshoot and monitor model deployments in Azure AI Foundry portal to quickly resolve errors and optimize performance.,,,False,,True,True,False,0,,False,0,True,False,0,,False,0,False,True,How to troubleshoot your deployments and monitors in Azure AI Foundry portal,msakande
,y*,,Models > Develop with AI models,Endpoints for Foundry Models,ai-foundry/foundry-models/concepts/endpoints.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/concepts/endpoints,False,mopeakande,how-to,azure-ai-foundry,"Learn how to access and use Azure AI Foundry Models endpoints for secure model inference, flexible deployments, and keyless authentication.",,,False,,False,True,False,0,,True,2,False,False,0,,False,0,False,False,Endpoints for Azure AI Foundry Models,msakande
,y,API reference,Models > Develop with AI models,Supported programming languages and SDKs,ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,https://learn.microsoft.com/azure/ai-services/openai/supported-languages?context=/azure/ai-foundry/context/context,False,,,,,,,False,,False,False,False,0,,False,0,False,False,0,,False,0,False,False,,
,y*,,Models > Develop with AI models,Azure AI Inference SDK,ai-foundry/foundry-models/supported-languages.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/supported-languages,False,mopeakande,concept-article,azure-ai-foundry,Learn how to choose the right programming languages and SDKs for deploying and using models in Azure AI Foundry Models.,,,False,,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Supported programming languages for models in Azure AI Foundry Models,msakande
,y*,,Models > Develop with AI models > Work with chat models,Work with chat completion models,ai-foundry/foundry-models/how-to/use-chat-completions.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-chat-completions,False,mopeakande,how-to,azure-ai-foundry,Learn how to generate chat completions with Azure AI Foundry Models,azure-ai-inference-samples,azure-ai-inference-samples,True,azure-ai-inference-samples,False,True,False,0,,False,0,False,False,0,,False,0,False,False,How to use chat completions with Azure AI Foundry Models,msakande
,y*,,Models > Develop with AI models > Work with chat models,Work with reasoning models,ai-foundry/foundry-models/how-to/use-chat-reasoning.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-chat-reasoning,False,mopeakande,how-to,azure-ai-foundry,Learn how to use reasoning capabilities from models with Azure AI Foundry Models,azure-ai-inference-samples,azure-ai-inference-samples,True,azure-ai-inference-samples,False,True,False,0,,False,0,False,False,0,,False,0,False,False,How to use reasoning models with Azure AI Foundry Models,msakande
,y*,,Models > Develop with AI models > Work with chat models,Work with multimodal models,ai-foundry/foundry-models/how-to/use-chat-multi-modal.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-chat-multi-modal,False,mopeakande,how-to,azure-ai-foundry,Learn how to process audio and images with chat completions models with Azure AI Foundry Models,azure-ai-inference-samples,azure-ai-inference-samples,True,azure-ai-inference-samples,False,True,False,0,,False,0,False,False,0,,False,0,False,False,How to use image and audio in chat completions with Azure AI Foundry Models,msakande
,y*,,Models > Develop with AI models > Work with chat models,Use structured outputs,ai-foundry/foundry-models/how-to/use-structured-outputs.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-structured-outputs,False,mopeakande,how-to,azure-ai-foundry,Learn how to use structure outputs with chat completions with Azure AI Foundry Models,azure-ai-inference-samples,azure-ai-inference-samples,True,azure-ai-inference-samples,False,True,False,0,,False,0,False,False,0,,False,0,False,False,How to use structured outputs for chat models,msakande
,y*,,Models > Develop with AI models > Work with embedding models,Work with text embeddings,ai-foundry/foundry-models/how-to/use-embeddings.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-embeddings,False,mopeakande,how-to,azure-ai-foundry,Learn how to generate embeddings with Azure AI Foundry Models,azure-ai-inference-samples,azure-ai-inference-samples,True,azure-ai-inference-samples,False,True,False,0,,False,0,False,False,0,,False,0,False,False,How to generate embeddings with Azure AI Foundry Models service,msakande
,y*,,Models > Develop with AI models > Work with embedding models,Work with image embeddings,ai-foundry/foundry-models/how-to/use-image-embeddings.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/use-image-embeddings,False,mopeakande,how-to,azure-ai-foundry,Learn how to generate image embeddings with Azure AI Foundry Models,azure-ai-inference-samples,azure-ai-inference-samples,True,azure-ai-inference-samples,False,True,False,0,,False,0,False,False,0,,False,0,False,False,How to generate image embeddings with Azure AI Foundry Models service,msakande
,y*,,Models > Develop with AI models,Work with image models,ai-foundry/how-to/use-image-models.md,https://learn.microsoft.com/azure/ai-foundry/how-to/use-image-models,False,mopeakande,how-to,azure-ai-foundry,Learn how to use image-to-text models from the AI Foundry model catalog.,,,False,,False,True,False,0,,False,0,True,True,4,"bash, none",False,0,False,False,How to use image-to-text models in the model catalog,msakande
,y,Developer environment,Models > Develop with AI models,Develop with LangChain and LangGraph,ai-foundry/how-to/develop/langchain.md,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/langchain,False,sgilley,how-to,azure-ai-foundry,This article explains how to use LangChain with models deployed in Azure AI Foundry portal to build advance intelligent applications.,,,False,,False,True,False,0,,True,1,True,True,28,"python, none, bash",False,0,False,True,Develop application with LangChain and Azure AI Foundry,sdgilley
,y,Developer environment,Models > Develop with AI models,Develop with Llama-Index,ai-foundry/how-to/develop/llama-index.md,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/llama-index,False,sgilley,how-to,azure-ai-foundry,This article explains how to use LlamaIndex with models deployed in Azure AI Foundry portal to build advance intelligent applications.,,,False,,False,True,False,0,,False,0,False,True,30,"python, none, bash",False,0,False,True,Develop application with LlamaIndex and Azure AI Foundry,sdgilley
refactor to provide guidance for using agent framework,?,Agent,Models > Develop with AI models,Develop with Semantic Kernel,ai-foundry/how-to/develop/semantic-kernel.md,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/semantic-kernel,False,lagayhar,how-to,azure-ai-foundry,Develop applications with Semantic Kernel and Azure AI Foundry.,,,False,,False,True,False,0,,False,0,True,True,24,"bash, none, python",False,0,False,True,Develop applications with Semantic Kernel and Azure AI Foundry,lgayhardt
,y*,,Models > Deployment in AI hub,Connect your AI hub to the Azure AI Foundry resource,ai-foundry/foundry-models/how-to/configure-project-connection.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/configure-project-connection,False,ssalgado,how-to,azure-ai-foundry,Learn how to configure a connection to use Azure AI Foundry Models in your project.,azure-ai-models-deployment,azure-ai-models-deployment,True,azure-ai-models-deployment,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Configure a connection to use Azure AI Foundry Models in your AI project,ssalgadodev
managed compute uses hub projects,n,,Models > Deployment in AI hub > Managed compute endpoints,Deploy models via managed compute,ai-foundry/how-to/deploy-models-managed.md,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-managed,False,mopeakande,how-to,azure-ai-foundry,Learn how to deploy large language models on managed compute in Azure AI Foundry and perform real-time inference for generative AI applications.,azure-ai-managed-compute-deployment,azure-ai-managed-compute-deployment,True,azure-ai-managed-compute-deployment,False,True,False,0,,True,2,False,False,0,,False,0,False,False,How to deploy and inference a managed compute deployment,msakande
managed compute uses hub projects,n,,Models > Deployment in AI hub > Managed compute endpoints,Deploy models to managed compute pay-as-you-go,ai-foundry/how-to/deploy-models-managed-pay-go.md,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-managed-pay-go,False,mopeakande,how-to,azure-ai-foundry,Learn how to deploy protected models from partners and community on Azure AI Foundry managed compute and understand how pay-as-you-go surcharge billing works.,,,False,,False,True,False,0,,True,2,True,False,0,,False,0,True,True,Deploy Azure AI Foundry Models to managed compute with pay-as-you-go billing,msakande
managed compute uses hub projects,n,,Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,Foundational AI models for healthcare,ai-foundry/how-to/healthcare-ai/healthcare-ai-models.md,https://learn.microsoft.com/azure/ai-foundry/how-to/healthcare-ai/healthcare-ai-models,False,mopeakande,concept-article,azure-ai-foundry,Learn about AI models that are applicable to the health and life science industry.,,,False,,False,True,False,0,,True,1,False,False,0,,False,0,False,False,Foundation models for healthcare in Azure AI Foundry portal,msakande
managed compute uses hub projects,n,,Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,MedImageInsight model for embedding,ai-foundry/how-to/healthcare-ai/deploy-medimageinsight.md,https://learn.microsoft.com/azure/ai-foundry/how-to/healthcare-ai/deploy-medimageinsight,False,mopeakande,how-to,azure-ai-foundry,Learn how to use MedImageInsight Healthcare AI Model with Azure AI Foundry.,,,False,,False,True,False,0,,True,1,True,True,10,"python, none, json",False,0,False,False,How to deploy and use MedImageInsight healthcare AI model with Azure AI Foundry,msakande
managed compute uses hub projects,n,,Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,CXRReportGen model for text generation,ai-foundry/how-to/healthcare-ai/deploy-cxrreportgen.md,https://learn.microsoft.com/azure/ai-foundry/how-to/healthcare-ai/deploy-cxrreportgen,False,mopeakande,how-to,azure-ai-foundry,Learn how to use CXRReportGen Healthcare AI Model with Azure AI Foundry.,,,False,,False,True,False,0,,True,1,True,True,10,"python, none, json",False,0,False,False,How to deploy and use CXRReportGen healthcare AI model with Azure AI Foundry,msakande
managed compute uses hub projects,n,,Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,MedImageParse models for prompted segmentation,ai-foundry/how-to/healthcare-ai/deploy-medimageparse.md,https://learn.microsoft.com/azure/ai-foundry/how-to/healthcare-ai/deploy-medimageparse,False,mopeakande,how-to,azure-ai-foundry,Learn how to use MedImageParse and MedImageParse 3D Healthcare AI models with Azure AI Foundry.,,,False,,False,True,True,14,"medimageparse-3d, medimageparse",True,1,True,True,18,"python, none, json",False,0,False,False,MedImageParse and MedImageParse 3D healthcare AI models with Azure AI Foundry,msakande
,y*,,Models > Deployment in AI hub > Serverless API endpoints,Configure AI projects to work with Azure AI Foundry Models,ai-foundry/foundry-models/how-to/quickstart-ai-project.md,https://learn.microsoft.com/azure/ai-foundry/foundry-models/how-to/quickstart-ai-project,False,ssalgado,how-to,azure-ai-foundry,Learn how to upgrade your AI project to use models deployed in Azure AI Foundry Models in Azure AI Foundry Service,,,False,,False,True,False,0,,True,6,True,False,0,,False,0,True,True,Configure your AI project to use Azure AI Foundry Models,ssalgadodev
,y*,,Models > Deployment in AI hub > Serverless API endpoints,Deploy models via serverless API,ai-foundry/how-to/deploy-models-serverless.md,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-serverless,False,ssalgado,how-to,azure-ai-foundry,"Learn to deploy models as serverless API deployments, using Azure AI Foundry.",azure-ai-serverless-deployment,azure-ai-serverless-deployment,True,azure-ai-serverless-deployment,False,True,True,8,"partner-models, azure-direct",True,11,False,True,10,"azurecli, none, python",False,0,False,True,Deploy models as serverless API deployments,ssalgadodev
,y*,,Models > Deployment in AI hub > Serverless API endpoints,Consume models from a different project or hub,ai-foundry/how-to/deploy-models-serverless-connect.md,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-serverless-connect,False,ssalgado,how-to,azure-ai-foundry,Learn how to consume serverless APIs from a different project or hub.,,,False,,False,True,True,15,"cli, azure-ai-studio, python",False,0,True,False,0,,False,0,False,True,Consume serverless APIs from a different project or hub,ssalgadodev
,n,,Models > Deployment in AI hub > Serverless API endpoints,Model region availability for serverless API,ai-foundry/how-to/deploy-models-serverless-availability.md,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-serverless-availability,False,ssalgado,how-to,azure-ai-foundry,Learn about the regions where each model is available for deployment in serverless APIs via Azure AI Foundry.,,,False,,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Region availability for models in serverless APIs,ssalgadodev
,n,,Models > Deployment in AI hub > Serverless API endpoints,Guardrails & controls for serverless API,ai-foundry/concepts/model-catalog-content-safety.md,https://learn.microsoft.com/azure/ai-foundry/concepts/model-catalog-content-safety,False,ssalgado,concept-article,azure-ai-foundry,"Learn about content safety for models deployed using serverless API deployments, using Azure AI Foundry.",,,False,,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Guardrails & controls for Models Sold Directly by Azure,ssalgadodev
,y*,,Models > Deployment in AI hub > Serverless API endpoints,Inference examples for serverless deployments,ai-foundry/concepts/models-inference-examples.md,https://learn.microsoft.com/azure/ai-foundry/concepts/models-inference-examples,False,ssalgado,concept-article,azure-ai-foundry,Inference examples for Foundry Models that support deployment to serverless APIs in Azure AI Foundry.,,,False,,False,True,False,0,,False,0,False,False,0,,False,0,True,False,Serverless API inference examples for Foundry Models,ssalgadodev
,n,,Models > Azure OpenAI in Foundry Models,Azure OpenAI,ai-foundry/openai/overview.md,https://learn.microsoft.com/azure/ai-foundry/openai/overview,False,mbullwin,overview,azure-ai-openai,Apply advanced language models to variety of use cases with Azure OpenAI,,,False,,False,True,False,0,,False,0,True,False,0,,False,0,False,True,What is Azure OpenAI in Azure AI Foundry Models?,mrbullwinkle
,n,,Models > Azure OpenAI in Foundry Models,Upgrade from Azure OpenAI Service,ai-foundry/how-to/upgrade-azure-openai.md,https://learn.microsoft.com/azure/ai-foundry/how-to/upgrade-azure-openai,False,sgilley,how-to,azure-ai-foundry,"Upgrade seamlessly from Azure OpenAI to Azure AI Foundry and unlock advanced capabilities like a broader model catalog, agents service, and evaluation tools.",,,False,,False,True,True,4,"bicep, portal",True,1,True,True,4,"bicep, none",False,0,False,True,Upgrade from Azure OpenAI to Azure AI Foundry,sdgilley
,n,,Models > Azure OpenAI in Foundry Models,Quotas and limits,ai-foundry/openai/quotas-limits.md,https://learn.microsoft.com/azure/ai-foundry/openai/quotas-limits,False,mbullwin,conceptual,azure-ai-openai,This article features detailed descriptions and best practices on the quotas and limits for Azure OpenAI.,,,False,,False,True,True,2,"REST, CLI",False,0,False,True,10,"bash, none, azurecli, json, python",False,0,True,True,Azure OpenAI in Azure AI Foundry Models Quotas and Limits,mrbullwinkle
,n,,Models > Azure OpenAI in Foundry Models,Deployment types,ai-foundry/openai/how-to/deployment-types.md,https://learn.microsoft.com/azure/ai-foundry/openai/how-to/deployment-types,False,mbullwin,how-to,azure-ai-openai,"Learn how to use Azure AI Foundry deployment types including Global Standard, Standard, and Provisioned.",,,False,,False,True,False,0,,True,1,False,True,2,"json, none",False,0,False,False,Understanding Azure AI Foundry Models Deployment Types,mrbullwinkle
Better to get product to implement filters with the information they need!,y,,Models > Azure OpenAI in Foundry Models,Azure OpenAI Models,ai-foundry/openai/concepts/models.md,https://learn.microsoft.com/azure/ai-foundry/openai/concepts/models,False,,,,,,,False,,False,False,False,0,,False,0,False,False,0,,False,0,False,False,,
,y,,Models > Azure OpenAI in Foundry Models,Model retirements,ai-foundry/openai/concepts/model-retirements.md,https://learn.microsoft.com/azure/ai-foundry/openai/concepts/model-retirements,False,mbullwin,conceptual,azure-ai-openai,Learn about model deprecations and retirements in Azure OpenAI.,,,False,,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Azure OpenAI in Azure AI Foundry Model Retirements,mrbullwinkle
,n,,Models > Azure OpenAI in Foundry Models,What's new,ai-foundry/openai/whats-new.md,https://learn.microsoft.com/azure/ai-foundry/openai/whats-new,False,mbullwin,whats-new,azure-ai-openai,Learn about the latest news and features updates for Azure OpenAI.,,,False,,False,True,False,0,,True,1,False,False,0,,False,0,True,True,What's new in Azure OpenAI in Azure AI Foundry Models?,mrbullwinkle
,y,,Models > Azure OpenAI in Foundry Models,Programming languages/SDKs,ai-foundry/openai/supported-languages.md,https://learn.microsoft.com/azure/ai-foundry/openai/supported-languages,False,mbullwin,conceptual,azure-ai-openai,Programming language support for Azure OpenAI.,openai-supported-languages,openai-supported-languages,True,openai-supported-languages,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Azure OpenAI in Azure AI Foundry Models supported programming languages,mrbullwinkle
,y,,Models > Azure OpenAI in Foundry Models,API lifecycle,ai-foundry/openai/api-version-lifecycle.md,https://learn.microsoft.com/azure/ai-foundry/openai/api-version-lifecycle,False,mbullwin,conceptual,azure-ai-openai,Learn more about API version retirement in Azure OpenAI.,,,False,,False,True,True,4,"output, rest, key, entra",False,0,False,True,18,"python, none, bash, json",False,0,False,False,Azure OpenAI in Azure AI Foundry Models API version lifecycle,mrbullwinkle
,?,,Models > Azure OpenAI in Foundry Models,Azure OpenAI in Azure Government,ai-foundry/openai/azure-government.md,https://learn.microsoft.com/azure/ai-foundry/openai/azure-government,False,chaparker,how-to,azure-ai-openai,Learn how to use Azure OpenAI in the Azure Government cloud.,,,False,,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Azure OpenAI in Azure Government,challenp
create Legacy section for this,y,Model operations,Models > Azure OpenAI in Foundry Models > Quickstarts,Audio generation,ai-foundry/openai/audio-completions-quickstart.md,https://learn.microsoft.com/azure/ai-foundry/openai/audio-completions-quickstart,False,pafarley,how-to,azure-ai-openai,Walkthrough on how to get started with audio generation using Azure OpenAI.,audio-completions-quickstart,audio-completions-quickstart,True,audio-completions-quickstart,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Quickstart - Getting started with Azure OpenAI audio generation,PatrickFarley
,y,,Models > Azure OpenAI in Foundry Models > Quickstarts,Chat,ai-foundry/openai/chatgpt-quickstart.md,https://learn.microsoft.com/azure/ai-foundry/openai/chatgpt-quickstart,False,mbullwin,quickstart,azure-ai-openai,Get answers using Azure OpenAI chat completions in Azure AI Foundry Models. Learn how to ask questions and get AI responses with GPT models and API integration.,openai-quickstart-new,openai-quickstart-new,True,openai-quickstart-new,False,True,False,0,,False,0,False,False,0,,False,0,False,False,Get Answers with Azure OpenAI Chat Completions,mrbullwinkle
